Helix.A-Helix,Helix.3-Helix,Helix.5-Helix,Helix.PPII-Helix,Sheet.B-Sheet,Sheet.B-Bridge,Turn.Turn,Turn.Bend,Coil
0,0,0,0,119,7,3,21,60
0,0,0,2,103,8,1,24,72
0,0,0,1,113,9,1,23,63
0,0,0,0,101,11,0,25,73
0,0,0,2,102,9,2,25,70
0,0,0,2,104,8,2,27,67
0,0,0,0,103,8,2,27,70
0,0,0,0,115,10,0,22,63
0,0,0,0,107,8,2,27,66
0,0,0,2,105,9,0,26,68
0,0,0,4,112,10,1,23,60
0,0,0,0,116,9,1,23,61
0,0,0,2,111,9,2,23,63
0,0,0,0,100,13,1,22,74
0,0,0,0,110,11,1,23,65
0,0,0,1,100,13,1,24,71
0,0,0,0,107,8,1,24,70
0,0,0,0,91,18,1,25,75
0,0,0,2,101,9,1,26,71
0,0,0,2,114,9,1,21,63
0,0,0,0,91,16,1,24,78
0,0,0,0,103,11,1,25,70
0,0,0,2,111,9,1,22,65
0,0,0,0,107,13,1,20,69
0,0,0,0,108,9,1,22,70
0,0,0,0,101,13,1,23,72
0,0,0,0,112,10,0,25,63
0,0,0,0,102,7,1,25,75
0,0,0,0,105,9,0,25,71
0,0,0,0,111,9,0,23,67
0,0,0,0,97,13,0,27,73
0,0,0,0,101,12,0,21,76
0,0,0,0,101,10,0,26,73
0,0,0,2,119,5,1,24,59
0,0,0,1,103,10,1,21,74
0,0,0,2,102,12,1,24,69
0,0,0,2,110,11,0,24,63
0,0,0,0,114,10,1,22,63
0,0,0,2,104,14,2,27,61
0,0,0,2,115,4,2,24,63
0,0,0,0,104,10,2,24,70
0,0,0,1,99,8,2,23,77
0,0,0,0,117,9,2,17,65
0,0,0,2,100,8,0,24,76
0,0,0,0,104,10,2,25,69
0,0,0,0,100,15,1,21,73
0,0,0,0,94,13,1,24,78
0,0,0,0,105,9,2,25,69
0,0,0,2,95,17,0,23,73
0,0,0,0,99,14,1,21,75
0,0,0,3,96,12,0,23,76
0,0,0,2,109,9,2,24,64
0,0,0,2,101,12,0,27,68
0,0,0,2,94,10,0,25,79
0,0,0,2,109,7,0,24,68
0,0,0,0,112,6,0,23,69
0,0,0,0,97,10,1,24,78
0,0,0,4,100,10,0,24,72
0,0,0,4,99,7,0,23,77
0,0,0,2,98,11,0,24,75
0,0,0,2,103,5,0,26,74
0,0,0,2,98,10,0,22,78
0,0,0,4,97,11,1,24,73
0,0,0,5,96,6,0,23,80
0,0,0,5,100,8,0,25,72
0,0,0,2,97,14,0,25,72
0,0,0,5,101,11,2,22,69
0,0,0,2,112,7,2,22,65
0,0,0,2,104,10,0,24,70
0,0,0,0,101,11,2,25,71
0,0,0,2,108,5,2,27,66
0,0,0,0,105,6,2,23,74
0,0,0,2,106,8,2,23,69
0,0,0,2,109,8,2,24,65
0,0,0,0,108,11,0,23,68
0,0,0,0,108,8,2,22,70
0,0,0,2,97,12,2,27,70
0,0,0,2,103,10,2,27,66
0,0,0,0,102,9,0,28,71
0,0,0,2,103,12,0,25,68
0,0,0,2,102,10,0,27,69
0,0,0,2,103,8,2,26,69
